Result,Exit_Velocity,Launch_Angle,Distance,Direction,Pitch,Pitch_Type
field_out,89.2,25,315,Pull,94.2,4-Seam Fastball
field_out,96.1,-3,27,Straightaway,81.6,Curveball
field_out,77.7,-22,5,Opposite,84,Changeup
field_out,78.6,-6,14,Straightaway,84.7,Changeup
field_out,66.6,-15,7,Pull,74.5,Curveball
double,98.3,21,353,Opposite,93,Sinker
field_out,98,4,90,Straightaway,70.9,Curveball
field_out,93,-15,9,Pull,87.6,Cutter
single,103.1,13,211,Pull,90.4,Sinker
field_out,81.9,51,242,Straightaway,83.2,Changeup
field_out,94.1,-11,13,Pull,89.9,4-Seam Fastball
single,79.3,14,171,Pull,80.5,Changeup
field_out,97.1,-19,4,Straightaway,80.9,Changeup
field_out,91.5,-19,6,Pull,92.8,4-Seam Fastball
field_out,104.2,8,166,Pull,78.4,Curveball
field_out,83.9,35,281,Opposite,80.7,Curveball
field_out,75.8,-9,10,Pull,92.7,Sinker
field_out,67.4,-29,3,Pull,92.8,2-Seam Fastball
field_out,87.5,40,295,Opposite,93.7,2-Seam Fastball
single,98.7,10,169,Straightaway,74.2,Curveball
field_out,102,-3,36,Straightaway,92.8,4-Seam Fastball
field_out,73.4,-12,11,Straightaway,80,Changeup
field_out,92.9,48,294,Pull,84.6,Slider
field_out,86.8,66,193,Opposite,92.3,4-Seam Fastball
field_out,89.9,-6,25,Pull,95.5,4-Seam Fastball
field_out,77.2,-35,4,Straightaway,78.3,Curveball
field_out,48.3,-22,7,Opposite,90.1,4-Seam Fastball
field_out,95.6,35,360,Straightaway,81.9,Slider
field_out,88.2,2,67,Pull,83.9,Slider
field_out,99.7,17,312,Opposite,88.1,Cutter
field_out,70.4,0,47,Pull,88.8,Cutter
field_out,80.9,-3,24,Pull,87.3,Cutter
double,101.1,26,402,Straightaway,92.3,Sinker
field_out,99.9,22,345,Straightaway,92.1,4-Seam Fastball
field_out,104.8,20,390,Straightaway,92.6,4-Seam Fastball
double,104.7,3,102,Pull,92.9,4-Seam Fastball
home_run,98.1,40,359,Pull,94.4,4-Seam Fastball
double,103.3,23,376,Opposite,92.3,2-Seam Fastball
field_out,89.9,42,324,Straightaway,87.5,Slider
double,105.6,23,398,Opposite,89.3,4-Seam Fastball
field_out,60.8,-34,2,Straightaway,79.3,Slider
field_out,74.5,-18,7,Pull,79.8,Slider
field_out,101,9,146,Pull,89.1,Cutter
double,101.1,16,321,Opposite,91.2,Sinker
field_out,81.9,-36,3,Straightaway,79.4,Slider
home_run,95.6,42,351,Opposite,88,4-Seam Fastball
field_out,79.8,-32,4,Pull,90.6,Cutter
double,93.7,23,297,Pull,91.6,4-Seam Fastball
field_out,80.9,3,71,Straightaway,88.7,Slider
single,97.8,11,201,Straightaway,78.3,Curveball
field_out,83.7,65,168,Opposite,91.4,4-Seam Fastball
single,80.8,13,162,Pull,84,Changeup
field_out,83.9,-19,5,Straightaway,81.8,Split-Finger
double,95.6,9,152,Pull,89.2,4-Seam Fastball
field_out,87.6,-19,6,Pull,81.5,Curveball
double,109.5,17,286,Pull,88.2,Cutter
single,95,1,69,Straightaway,93.4,4-Seam Fastball
single,94.6,2,72,Straightaway,96.7,4-Seam Fastball
home_run,109.8,23,375,Pull,93,4-Seam Fastball
field_out,80.7,-24,6,Pull,84,Changeup
single,88.2,12,172,Straightaway,77.8,Knuckle Curve
single,84.7,17,233,Pull,86.1,Slider
single,80.6,-17,10,Pull,96.2,2-Seam Fastball
field_out,99,-3,27,Straightaway,97.2,4-Seam Fastball
home_run,108.4,27,399,Pull,98.2,4-Seam Fastball
field_out,83.1,-7,22,Pull,87.4,Changeup
single,111.5,8,195,Pull,91.6,4-Seam Fastball
single,88.8,17,243,Straightaway,89.3,Cutter
single,70.3,11,111,Straightaway,89.5,Cutter
field_out,98.6,-5,18,Pull,95.4,4-Seam Fastball
field_out,88.5,-20,5,Straightaway,86,Changeup
field_out,100.8,29,384,Opposite,80.1,Sinker
field_out,75.9,-21,6,Straightaway,79.6,Slider
triple,101.7,20,360,Pull,95.1,4-Seam Fastball
field_out,89.2,24,329,Pull,97.3,4-Seam Fastball
home_run,97.8,37,427,Pull,87.1,Changeup
field_out,68.2,-14,7,Pull,85.5,Slider
field_out,77.1,-10,10,Pull,77.6,Curveball
field_out,76.3,-5,22,Pull,85.9,Slider
field_out,101.3,4,94,Straightaway,94.6,Sinker
