year,per_capita_income
1962,120
1963,120
1964,130
1965,130
1966,140
1967,150
1968,190
1969,240
1970,280
1971,310
1972,340
1973,430
1974,550
1975,660
1976,810
1977,970
1978,1280
1979,1680
1980,1870
1981,2030
1982,2050
1983,2170
1984,2340
1985,2480
1986,2850
1987,3530
1988,4520
1989,5380
1990,6450
1991,7570
1992,8310
1993,9010
1994,10090
1995,11820
1996,13320
1997,13550
1998,10330
1999,10430
2000,11030
2001,11950
2002,12850
2003,13790
2004,16200
2005,18520
2006,20800
2007,23440
2008,23860
2009,22040
2010,22290
2011,23590
2012,25660
2013,26980
2014,28160
2015,28720
2016,29330
