관측소명:태안
위도:36.91305555555560
경도:126.238888888889
관측시간	조위(cm)	수온(℃)	염분(PSU)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	시정(m)	
2021-10-01 00:00:00	552	-	-	-	-	-	-	1.6	남남동	155	18.9	1007.7	-	
2021-10-01 00:01:00	552	-	-	-	-	-	-	1.5	남남동	151	18.9	1007.7	-	
2021-10-01 00:02:00	552	-	-	-	-	-	-	1.9	남남동	153	18.9	1007.7	-	
2021-10-01 00:03:00	552	-	-	-	-	-	-	2.2	남남동	152	18.9	1007.7	-	
2021-10-01 00:04:00	552	-	-	-	-	-	-	2.4	남남동	153	18.9	1007.7	-	
2021-10-01 00:05:00	551	-	-	-	-	-	-	2.4	남남동	153	18.9	1007.7	-	
2021-10-01 00:06:00	551	-	-	-	-	-	-	2.3	남남동	153	18.9	1007.7	-	
2021-10-01 00:07:00	550	-	-	-	-	-	-	1.4	남남동	147	18.9	1007.7	-	
2021-10-01 00:08:00	549	-	-	-	-	-	-	1.3	남남동	147	18.9	1007.7	-	
2021-10-01 00:09:00	549	-	-	-	-	-	-	1.4	남남동	151	19.0	1007.7	-	
2021-10-01 00:10:00	549	-	-	-	-	-	-	1.3	남남동	151	19.0	1007.7	-	
2021-10-01 00:11:00	549	-	-	-	-	-	-	0.9	남남동	148	19.0	1007.7	-	
2021-10-01 00:12:00	549	-	-	-	-	-	-	0.9	남남동	149	19.0	1007.8	-	
2021-10-01 00:13:00	549	-	-	-	-	-	-	1.1	남남동	154	19.0	1007.8	-	
2021-10-01 00:14:00	549	-	-	-	-	-	-	0.9	남남동	152	19.0	1007.8	-	
2021-10-01 00:15:00	548	-	-	-	-	-	-	0.9	남남동	154	19.1	1007.8	-	
2021-10-01 00:16:00	548	-	-	-	-	-	-	0.8	남남동	152	19.1	1007.8	-	
2021-10-01 00:17:00	548	-	-	-	-	-	-	0.9	남남동	150	19.2	1007.8	-	
2021-10-01 00:18:00	548	-	-	-	-	-	-	0.9	남남동	151	19.2	1007.8	-	
2021-10-01 00:19:00	548	-	-	-	-	-	-	0.7	남동	145	19.2	1007.8	-	
2021-10-01 00:20:00	547	-	-	-	-	-	-	0.9	남동	146	19.2	1007.7	-	
2021-10-01 00:21:00	547	-	-	-	-	-	-	1.0	남동	146	19.2	1007.7	-	
2021-10-01 00:22:00	547	-	-	-	-	-	-	0.9	남동	142	19.3	1007.7	-	
2021-10-01 00:23:00	547	-	-	-	-	-	-	0.6	동남동	121	19.3	1007.7	-	
2021-10-01 00:24:00	546	-	-	-	-	-	-	0.6	남동	130	19.4	1007.7	-	
2021-10-01 00:25:00	547	-	-	-	-	-	-	0.4	남동	129	19.5	1007.7	-	
2021-10-01 00:26:00	547	-	-	-	-	-	-	0.5	남동	137	19.5	1007.7	-	
2021-10-01 00:27:00	546	-	-	-	-	-	-	0.6	남남동	149	19.5	1007.7	-	
2021-10-01 00:28:00	546	-	-	-	-	-	-	0.6	남남동	155	19.6	1007.6	-	
2021-10-01 00:29:00	546	-	-	-	-	-	-	0.9	남남동	162	19.6	1007.6	-	
2021-10-01 00:30:00	546	-	-	-	-	-	-	0.8	남	174	19.6	1007.6	-	
2021-10-01 00:31:00	546	-	-	-	-	-	-	0.8	남	186	19.5	1007.7	-	
2021-10-01 00:32:00	546	-	-	-	-	-	-	0.7	남	179	19.5	1007.7	-	
2021-10-01 00:33:00	546	-	-	-	-	-	-	0.7	남남동	167	19.5	1007.7	-	
2021-10-01 00:34:00	545	-	-	-	-	-	-	0.8	남남동	164	19.6	1007.8	-	
2021-10-01 00:35:00	545	-	-	-	-	-	-	0.7	남남동	164	19.6	1007.8	-	
2021-10-01 00:36:00	544	-	-	-	-	-	-	0.5	남남동	161	19.6	1007.8	-	
2021-10-01 00:37:00	544	-	-	-	-	-	-	0.4	남남동	157	19.6	1007.8	-	
2021-10-01 00:38:00	545	-	-	-	-	-	-	0.3	남	172	19.6	1007.8	-	
2021-10-01 00:39:00	545	-	-	-	-	-	-	0.2	남	174	19.6	1007.8	-	
2021-10-01 00:40:00	545	-	-	-	-	-	-	0.2	남	169	19.6	1007.9	-	
2021-10-01 00:41:00	544	-	-	-	-	-	-	0.2	남남동	159	19.6	1007.9	-	
2021-10-01 00:42:00	544	-	-	-	-	-	-	0.0	남남동	160	19.7	1007.9	-	
2021-10-01 00:43:00	543	-	-	-	-	-	-	0.0	북	0	19.7	1007.9	-	
2021-10-01 00:44:00	543	-	-	-	-	-	-	0.0	남남동	156	19.7	1007.9	-	
2021-10-01 00:45:00	543	-	-	-	-	-	-	0.0	북	0	19.8	1007.9	-	
2021-10-01 00:46:00	542	-	-	-	-	-	-	0.0	북	0	19.8	1007.9	-	
2021-10-01 00:47:00	541	-	-	-	-	-	-	0.0	북	0	19.8	1008.0	-	
2021-10-01 00:48:00	541	-	-	-	-	-	-	0.0	북	0	19.9	1008.0	-	
2021-10-01 00:49:00	540	-	-	-	-	-	-	0.0	북	0	19.9	1008.0	-	
2021-10-01 00:50:00	540	-	-	-	-	-	-	0.0	남동	135	19.9	1008.0	-	
2021-10-01 00:51:00	539	-	-	-	-	-	-	0.0	북	0	19.9	1008.0	-	
2021-10-01 00:52:00	538	-	-	-	-	-	-	0.0	북	0	20.0	1008.0	-	
2021-10-01 00:53:00	537	-	-	-	-	-	-	0.0	북	0	20.0	1008.0	-	
2021-10-01 00:54:00	537	-	-	-	-	-	-	0.0	북	0	20.0	1008.1	-	
2021-10-01 00:55:00	536	-	-	-	-	-	-	0.0	북	0	20.1	1008.1	-	
2021-10-01 00:56:00	535	-	-	-	-	-	-	0.1	남동	139	20.1	1008.1	-	
2021-10-01 00:57:00	535	-	-	-	-	-	-	0.0	동	85	20.2	1008.1	-	
2021-10-01 00:58:00	534	-	-	-	-	-	-	0.0	서	263	20.2	1008.1	-	
2021-10-01 00:59:00	533	-	-	-	-	-	-	0.0	서	262	20.2	1008.1	-	
