관측소명:울릉도
위도:37.491389
경도:130.913611
관측시간	조위(cm)	수온(℃)	염분(PSU)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	시정(m)	
2021-10-01 00:00:00	54	23.20	31.20	-	-	-	-	0.9	서북서	292	19.2	1008.7	-	
2021-10-01 00:01:00	54	23.20	31.20	-	-	-	-	1.0	서	273	19.2	1008.7	-	
2021-10-01 00:02:00	54	23.20	31.20	-	-	-	-	1.2	서	260	19.2	1008.7	-	
2021-10-01 00:03:00	54	23.20	31.20	-	-	-	-	1.6	서	264	19.1	1008.7	-	
2021-10-01 00:04:00	54	23.20	31.20	-	-	-	-	1.1	서	278	19.2	1008.7	-	
2021-10-01 00:05:00	54	23.20	31.20	-	-	-	-	1.8	서	261	19.3	1008.7	-	
2021-10-01 00:06:00	54	23.20	31.20	-	-	-	-	1.4	서남서	246	19.4	1008.7	-	
2021-10-01 00:07:00	54	23.20	31.20	-	-	-	-	1.6	서남서	245	19.4	1008.7	-	
2021-10-01 00:08:00	54	23.20	31.20	-	-	-	-	0.4	서	264	19.4	1008.5	-	
2021-10-01 00:09:00	54	23.20	31.20	-	-	-	-	0.3	서북서	290	19.4	1008.5	-	
2021-10-01 00:10:00	54	23.20	31.20	-	-	-	-	0.4	서북서	282	19.4	1008.5	-	
2021-10-01 00:11:00	54	23.20	31.20	-	-	-	-	0.3	서북서	284	19.4	1008.5	-	
2021-10-01 00:12:00	54	23.20	31.20	-	-	-	-	1.0	서	273	19.4	1008.7	-	
2021-10-01 00:13:00	54	23.20	31.20	-	-	-	-	0.9	서	263	19.4	1008.5	-	
2021-10-01 00:14:00	54	23.20	31.20	-	-	-	-	1.3	서북서	282	19.4	1008.7	-	
2021-10-01 00:15:00	55	23.20	31.20	-	-	-	-	1.0	서	277	19.4	1008.5	-	
2021-10-01 00:16:00	54	23.20	31.20	-	-	-	-	1.0	서북서	283	19.4	1008.5	-	
2021-10-01 00:17:00	54	23.20	31.20	-	-	-	-	0.8	서	277	19.4	1008.5	-	
2021-10-01 00:18:00	54	23.20	31.20	-	-	-	-	0.5	서	277	19.4	1008.5	-	
2021-10-01 00:19:00	54	23.20	31.20	-	-	-	-	1.2	서	278	19.4	1008.5	-	
2021-10-01 00:20:00	55	23.20	31.20	-	-	-	-	1.4	서	279	19.4	1008.5	-	
2021-10-01 00:21:00	54	23.20	31.20	-	-	-	-	1.0	서북서	286	19.4	1008.5	-	
2021-10-01 00:22:00	54	23.20	31.20	-	-	-	-	0.8	서	276	19.4	1008.5	-	
2021-10-01 00:23:00	54	23.20	31.20	-	-	-	-	0.9	서북서	297	19.4	1008.5	-	
2021-10-01 00:24:00	54	23.20	31.20	-	-	-	-	1.0	서북서	295	19.4	1008.5	-	
2021-10-01 00:25:00	54	23.20	31.20	-	-	-	-	1.0	서북서	283	19.4	1008.5	-	
2021-10-01 00:26:00	54	23.20	31.20	-	-	-	-	1.1	서	281	19.3	1008.5	-	
2021-10-01 00:27:00	54	23.20	31.20	-	-	-	-	1.4	서북서	284	19.3	1008.5	-	
2021-10-01 00:28:00	54	23.20	31.20	-	-	-	-	1.2	서북서	297	19.3	1008.5	-	
2021-10-01 00:29:00	54	23.20	31.20	-	-	-	-	0.8	서	281	19.3	1008.5	-	
2021-10-01 00:30:00	54	23.20	31.20	-	-	-	-	0.8	서북서	284	19.3	1008.5	-	
2021-10-01 00:31:00	54	23.20	31.20	-	-	-	-	0.6	서	280	19.3	1008.5	-	
2021-10-01 00:32:00	54	23.20	31.20	-	-	-	-	1.0	서북서	283	19.2	1008.5	-	
2021-10-01 00:33:00	54	23.20	31.20	-	-	-	-	0.6	서	281	19.2	1008.5	-	
2021-10-01 00:34:00	55	23.20	31.20	-	-	-	-	0.4	서북서	291	19.2	1008.3	-	
2021-10-01 00:35:00	55	23.20	31.20	-	-	-	-	1.1	서	270	19.2	1008.3	-	
2021-10-01 00:36:00	54	23.20	31.20	-	-	-	-	0.6	서북서	286	19.2	1008.3	-	
2021-10-01 00:37:00	54	23.20	31.20	-	-	-	-	1.6	서북서	285	19.2	1008.5	-	
