1980년
국가,나이,포인트
jp,24.0,3354.0
jp,33.0,3353.0
jp,38.0,3352.0
jp,29.0,3313.0
jp,45.0,3310.0
jp,38.0,3304.0
kr,27.0,3292.0
jp,28.0,3277.0
jp,55.0,3274.0
jp,60.0,3263.0
jp,31.0,3253.0
kr,27.0,3249.0
cn,28.0,3246.0
jp,35.0,3235.0
jp,41.0,3230.0
jp,22.0,3216.0
jp,32.0,3213.0
jp,40.0,3195.0
jp,31.0,3194.0
jp,36.0,3191.0
분산:2672.01

1981년
국가,나이,포인트
jp,25.0,3387.0
kr,28.0,3354.0
jp,39.0,3354.0
jp,34.0,3337.0
jp,46.0,3303.0
jp,29.0,3301.0
jp,39.0,3298.0
jp,30.0,3297.0
jp,56.0,3276.0
jp,32.0,3274.0
jp,61.0,3261.0
kr,28.0,3249.0
cn,29.0,3246.0
jp,36.0,3241.0
jp,23.0,3229.0
jp,42.0,3227.0
jp,33.0,3212.0
cn,17.0,3209.0
jp,38.0,3201.0
jp,32.0,3198.0
분산:2912.9099999999994

1982년
국가,나이,포인트
jp,26.0,3400.0
kr,29.0,3354.0
jp,40.0,3344.0
jp,30.0,3338.0
jp,35.0,3323.0
jp,31.0,3298.0
jp,40.0,3293.0
jp,33.0,3291.0
jp,47.0,3278.0
jp,62.0,3262.0
kr,29.0,3249.0
cn,30.0,3246.0
jp,24.0,3241.0
jp,57.0,3240.0
jp,43.0,3222.0
jp,37.0,3222.0
jp,33.0,3219.0
jp,24.0,3216.0
jp,39.0,3214.0
jp,24.0,3210.0
분산:2909.3

1983년
국가,나이,포인트
kr,30.0,3406.0
jp,27.0,3381.0
jp,31.0,3350.0
jp,36.0,3349.0
jp,41.0,3332.0
jp,41.0,3321.0
jp,32.0,3297.0
jp,34.0,3293.0
cn,31.0,3289.0
kr,30.0,3288.0
jp,63.0,3262.0
jp,25.0,3255.0
cn,19.0,3249.0
jp,34.0,3244.0
jp,48.0,3233.0
jp,25.0,3229.0
jp,35.0,3224.0
jp,24.0,3222.0
jp,63.0,3222.0
jp,40.0,3221.0
분산:3093.1274999999996

1984년
국가,나이,포인트
kr,31.0,3424.0
jp,28.0,3368.0
jp,32.0,3367.0
jp,37.0,3352.0
jp,42.0,3330.0
jp,33.0,3322.0
jp,42.0,3319.0
cn,32.0,3305.0
kr,31.0,3300.0
cn,20.0,3272.0
jp,35.0,3272.0
jp,36.0,3252.0
jp,35.0,3247.0
jp,49.0,3238.0
jp,26.0,3237.0
jp,64.0,3234.0
jp,25.0,3233.0
jp,26.0,3231.0
jp,41.0,3229.0
jp,40.0,3222.0
분산:3258.11

1985년
국가,나이,포인트
kr,32.0,3425.0
jp,33.0,3394.0
jp,29.0,3389.0
jp,34.0,3357.0
jp,38.0,3347.0
jp,43.0,3321.0
jp,43.0,3314.0
cn,33.0,3310.0
kr,32.0,3304.0
cn,21.0,3298.0
jp,37.0,3265.0
kr,19.0,3257.0
jp,50.0,3250.0
jp,27.0,3249.0
jp,26.0,3239.0
jp,36.0,3234.0
jp,36.0,3233.0
jp,27.0,3226.0
jp,41.0,3226.0
jp,24.0,3222.0
분산:3769.7

1986년
국가,나이,포인트
kr,33.0,3451.0
jp,34.0,3402.0
jp,30.0,3399.0
jp,39.0,3374.0
jp,35.0,3365.0
cn,34.0,3344.0
jp,44.0,3305.0
kr,33.0,3300.0
cn,22.0,3295.0
jp,44.0,3284.0
jp,38.0,3267.0
jp,28.0,3264.0
kr,20.0,3257.0
jp,28.0,3246.0
jp,51.0,3245.0
jp,27.0,3239.0
jp,61.0,3235.0
jp,37.0,3233.0
jp,34.0,3229.0
jp,42.0,3226.0
분산:4399.8

1987년
국가,나이,포인트
kr,34.0,3447.0
jp,31.0,3393.0
jp,40.0,3390.0
jp,35.0,3378.0
cn,35.0,3377.0
jp,36.0,3330.0
jp,45.0,3329.0
kr,21.0,3296.0
jp,39.0,3291.0
kr,34.0,3289.0
cn,23.0,3288.0
jp,45.0,3288.0
jp,28.0,3259.0
jp,29.0,3259.0
