Iteration,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
mAP,98.07%,96.95%,99.52%,99.92%,99.92%,99.93%,99.92%,99.92%,99.97%,99.97%
Precision,78%,83%,94%,97%,93%,96%,95%,97%,98%,99%
Recall,95%,99%,97%,99%,100%,99%,99%,99%,100%,99%
F1-Score,85%,90%,96%,98%,96%,98%,97%,98%,99%,99%
Average IoU,61.70%,70.47%,80.19%,85.18%,83.46%,84.48%,84.91%,88.34%,90.76%,91.24%
AP of Marangoni Cell,94.21%,91.59%,99.53%,99.75%,99.77%,99.79%,99.75%,99.76%,99.91%,99.91%
mAP,96.42%,98.41%,99.88%,99.85%,91.20%,99.09%,99.89%,99.93%,99.94%,99.94%
Precision,75%,94%,92%,96%,96%,98%,97%,98%,98%,98%
Recall,97%,84%,99%,99%,53%,89%,99%,99%,99%,99%
F1-Score,85%,89%,96%,98%,68%,93%,98%,98%,99%,99%
Average IoU,58.74%,80.56%,77.63%,85.86%,79.96%,84.69%,86.87%,86.92%,91.17%,91.33%
AP of Marangoni Cell,95.33%,95.23%,99.63%,99.54%,73.59%,97.27%,99.67%,99.80%,99.83%,99.83%
